Type,Question
who is the,Who is the 69th pick by the Detroit Lions?
did they win,"In 2012 Rolling Stone's 2012 list, which award (at what number) were the Smile Sessions voted for and what did they win 2013?"
where are the,Where are the home grounds for the Hibernians and the Spartans?
what year did,What year did Yuna receive the Kembara Award?
who did the,Who did the West Indies play and what was the score?
which date and,Which date and where was the Kill Screen Festival held?
who took vache,Who took Vache's place as the prince and for how long?
which were the,Which were the roles  Marianne Müller player for Mozart during 1804 and 1809?
how many sets,How many sets are in the Nankai 8300 series and what are their numbers?
what are the,What are the two largest hydroelectricity facilities and their capacities?
what is the,What is the result of the 2nd Sibdang Cup?
what s edmonton,What's Edmonton and who is representing it?
what rides did,"What rides did ""Gotham City"" include in 2015 and what are their types?"
what did mike,On what did Mike Shipley work with Def Leppard?
how does lou,How does Lou Gehrig's streak compare to Everett Scott's?
how did latvia,How did Latvia perform in the Eurovision Song Contest 2002 and for how many points did she beat her closest competitor?
who won the,Who won the Best Female College Athlete ESPY Award in 2002?
how did car,How did car exports through the Chennai Port
what was favre,What was Favre's record in 1995 and when was it surpassed?
what were the,What were the results of the 1946 Faroese independence and independence to Denmark?
are there any,Are there any Australian rugby and cricket dual internationals?
what supplementary sets,What supplementary sets were released in 2001 and 2004?
did brazil and,"Between 2011 and 2017, how many Beach Soccer Intercontinental Cups did Brazil and Russia win?"
who was first,"Who was first place in the Qualifying round, and how far behind was second place?"
who played the,Who played the finals in 1977 and 1978 and what were the outcomes?
are there buildings,Are there buildings over 200m under construction in Taiwan?
who did udaya,Who did Udaya Chandrika act with in 1968?
what is the,What is the total population of Yablanitsa municipality as of Dec 2009?
what train numbers,What train numbers have been assigned to the Mysore - Dharwad Express?
what were the,What were the LSWR numbers of Nine Elms in 1899?
which year was,"Which year was "" It Will Rain"" released for Germany, Austria, Switzerland  and the UK?"
what football teams,What football teams are there in Valencia apart from Valencia C.F?
where and on,Where and on which formats did the August 2016 release of Lowtide take place?
what are the,What are the three largest healthcare organizations in the Meridian and how many people do they employ?
what happened after,What happened after Donegal and Derry's semi-finals?
what did ramachandra,What did Ramachandra Borcar produce in 2005?
what did soviet,What did Soviet supplied armored vehicles in the KPRAF consist?
when was child,When was Child's Play aired in Australia and who was its host?
what engine was,What engine was the Chevrolet C/K 454 powered by and how powerful was it?
which teams played,Which teams played in Klagenfurt?
how did the,How did the US perform against England in the 1950 World Cup and in which stage did the two team's play?
what percentage of,What percentage of the Bronx's population was Black or African American or Asian?
where did the,Where did the 2018–19 Scottish League One take place?
what are the,What are the first and second busiest airports in New Zealand?
when and where,When and where did Manjari Fadnis make her theatrical debut?
which directors and,Which directors and films did Laia Costa work with in 2017?
what was the,What was the model and power for the two petrol engines available since 2005?
did the winning,"In the 1982 NCAA Rifle Championships, what score did the winning team earn to prevail against the closest runner-up's score?"
how many soldiers,How many soldiers did the 3rd Algerian Infantry Division lose in total?
which productions of,Which productions of Cinelou Films and Netflix did Bryce Pinkham star in 2016?
what was the,What was the name of the fifth volume of Asterix?
which of rhonda,Which of Rhonda Jones' games did she win?
what wrestling pay,What wrestling pay-per-view (PPV) event took place at Staples Center in 2011 and when did it happen?
when did brooklyn,When did Brooklyn Nelson play the role of Young Elsa?
in which country did,In which country did Synchestra remain on the chart for the greatest number of weeks?
what year did,What year did Bel Powley appear as Tilly at the Royal Court Theatre?
what did eyman,What did Eyman introduce in 2018?
how long was,How long was Charles IV the Duke of Lorraine and were there any interruptions during his term?
when did tamara,When did Tamara Lawrance perform in Unreachable and who was the director?
who are two,Who are two of the main descendants from the Caodong lineage?
what were the,What were the Derailers' second and third releases?
who built the,Who built the China Railways JF2?
does bernard lagat,Does Bernard Lagat hold any world records?
what is the,What is the Tokutan Castle site?
how much did,How much did Miranda's Mad March raise?
what ner number,What NER number did Class W have?
how successful were,How successful were the films Aan and Awaara?
did jane blalock,Did Jane Blalock write any books?
who won the,Who won the 2018 NCAA Division I Outdoor Track and Field Championship?
what tamil films,What Tamil films did Ranganathan make from 1996 to 1997?
what bowl game,What bowl game was the closest in the 1971 NCAA College Division football season?
what are the,What are the storage and memory configuration offerings for the Surface Laptop 2?
